Sample in Buffer,Sample in Window,TRIGGER,UART_Transfer_i/clock_out_top_0/U0/fifo_count_slv[3:0],UART_Transfer_i/clock_out_top_0/U0/glitching_done,UART_Transfer_i/clock_out_top_0/U0/gpio_latched[15:0],UART_Transfer_i/clock_out_top_0/U0/write_ptr_slv[2:0],UART_Transfer_i/clock_out_top_0/U0/glitch_fifo_debug_0[15:0],UART_Transfer_i/clock_out_top_0/U0/glitch_fifo_debug_1[15:0],UART_Transfer_i/clock_out_top_0/U0/glitch_counter[6:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,1,0000,0,0000,0000,00
1,1,0,0,1,0000,0,0000,0000,00
2,2,0,0,1,0000,0,0000,0000,00
3,3,0,0,1,0000,0,0000,0000,00
4,4,0,0,1,0000,0,0000,0000,00
5,5,0,0,1,0000,0,0000,0000,00
6,6,0,0,1,0000,0,0000,0000,00
7,7,0,0,1,0000,0,0000,0000,00
8,8,0,0,1,0000,0,0000,0000,00
9,9,0,0,1,0000,0,0000,0000,00
10,10,0,0,1,0000,0,0000,0000,00
11,11,0,0,1,0000,0,0000,0000,00
12,12,0,0,1,0000,0,0000,0000,00
13,13,0,0,1,0000,0,0000,0000,00
14,14,0,0,1,0000,0,0000,0000,00
15,15,0,0,1,0000,0,0000,0000,00
16,16,0,0,1,0000,0,0000,0000,00
17,17,0,0,1,0000,0,0000,0000,00
18,18,0,0,1,0000,0,0000,0000,00
19,19,0,0,1,0000,0,0000,0000,00
20,20,0,0,1,0000,0,0000,0000,00
21,21,0,0,1,0000,0,0000,0000,00
22,22,0,0,1,0000,0,0000,0000,00
23,23,0,0,1,0000,0,0000,0000,00
24,24,0,0,1,0000,0,0000,0000,00
25,25,0,0,1,0000,0,0000,0000,00
26,26,0,0,1,0000,0,0000,0000,00
27,27,0,0,1,0000,0,0000,0000,00
28,28,0,0,1,0000,0,0000,0000,00
29,29,0,0,1,0000,0,0000,0000,00
30,30,0,0,1,0000,0,0000,0000,00
31,31,0,0,1,0000,0,0000,0000,00
32,32,0,0,1,0000,0,0000,0000,00
33,33,0,0,1,0000,0,0000,0000,00
34,34,0,0,1,0000,0,0000,0000,00
35,35,0,0,1,0000,0,0000,0000,00
36,36,0,0,1,0000,0,0000,0000,00
37,37,0,0,1,0000,0,0000,0000,00
38,38,0,0,1,0000,0,0000,0000,00
39,39,0,0,1,0000,0,0000,0000,00
40,40,0,0,1,0000,0,0000,0000,00
41,41,0,0,1,0000,0,0000,0000,00
42,42,0,0,1,0000,0,0000,0000,00
43,43,0,0,1,0000,0,0000,0000,00
44,44,0,0,1,0000,0,0000,0000,00
45,45,0,0,1,0000,0,0000,0000,00
46,46,0,0,1,0000,0,0000,0000,00
47,47,0,0,1,0000,0,0000,0000,00
48,48,0,0,1,0000,0,0000,0000,00
49,49,0,0,1,0000,0,0000,0000,00
50,50,0,0,1,0000,0,0000,0000,00
51,51,0,0,1,0000,0,0000,0000,00
52,52,0,0,1,0000,0,0000,0000,00
53,53,0,0,1,0000,0,0000,0000,00
54,54,0,0,1,0000,0,0000,0000,00
55,55,0,0,1,0000,0,0000,0000,00
56,56,0,0,1,0000,0,0000,0000,00
57,57,0,0,1,0000,0,0000,0000,00
58,58,0,0,1,0000,0,0000,0000,00
59,59,0,0,1,0000,0,0000,0000,00
60,60,0,0,1,0000,0,0000,0000,00
61,61,0,0,1,0000,0,0000,0000,00
62,62,0,0,1,0000,0,0000,0000,00
63,63,0,0,1,0000,0,0000,0000,00
64,64,0,0,1,0000,0,0000,0000,00
65,65,0,0,1,0000,0,0000,0000,00
66,66,0,0,1,0000,0,0000,0000,00
67,67,0,0,1,0000,0,0000,0000,00
68,68,0,0,1,0000,0,0000,0000,00
69,69,0,0,1,0000,0,0000,0000,00
70,70,0,0,1,0000,0,0000,0000,00
71,71,0,0,1,0000,0,0000,0000,00
72,72,0,0,1,0000,0,0000,0000,00
73,73,0,0,1,0000,0,0000,0000,00
74,74,0,0,1,0000,0,0000,0000,00
75,75,0,0,1,0000,0,0000,0000,00
76,76,0,0,1,0000,0,0000,0000,00
77,77,0,0,1,0000,0,0000,0000,00
78,78,0,0,1,0000,0,0000,0000,00
79,79,0,0,1,0000,0,0000,0000,00
80,80,0,0,1,0000,0,0000,0000,00
81,81,0,0,1,0000,0,0000,0000,00
82,82,0,0,1,0000,0,0000,0000,00
83,83,0,0,1,0000,0,0000,0000,00
84,84,0,0,1,0000,0,0000,0000,00
85,85,0,0,1,0000,0,0000,0000,00
86,86,0,0,1,0000,0,0000,0000,00
87,87,0,0,1,0000,0,0000,0000,00
88,88,0,0,1,0000,0,0000,0000,00
89,89,0,0,1,0000,0,0000,0000,00
90,90,0,0,1,0000,0,0000,0000,00
91,91,0,0,1,0000,0,0000,0000,00
92,92,0,0,1,0000,0,0000,0000,00
93,93,0,0,1,0000,0,0000,0000,00
94,94,0,0,1,0000,0,0000,0000,00
95,95,0,0,1,0000,0,0000,0000,00
96,96,0,0,1,0000,0,0000,0000,00
97,97,0,0,1,0000,0,0000,0000,00
98,98,0,0,1,0000,0,0000,0000,00
99,99,0,0,1,0000,0,0000,0000,00
100,100,0,0,1,0000,0,0000,0000,00
101,101,0,0,1,0000,0,0000,0000,00
102,102,0,0,1,0000,0,0000,0000,00
103,103,0,0,1,0000,0,0000,0000,00
104,104,0,0,1,0000,0,0000,0000,00
105,105,0,0,1,0000,0,0000,0000,00
106,106,0,0,1,0000,0,0000,0000,00
107,107,0,0,1,0000,0,0000,0000,00
108,108,0,0,1,0000,0,0000,0000,00
109,109,0,0,1,0000,0,0000,0000,00
110,110,0,0,1,0000,0,0000,0000,00
111,111,0,0,1,0000,0,0000,0000,00
112,112,0,0,1,0000,0,0000,0000,00
113,113,0,0,1,0000,0,0000,0000,00
114,114,0,0,1,0000,0,0000,0000,00
115,115,0,0,1,0000,0,0000,0000,00
116,116,0,0,1,0000,0,0000,0000,00
117,117,0,0,1,0000,0,0000,0000,00
118,118,0,0,1,0000,0,0000,0000,00
119,119,0,0,1,0000,0,0000,0000,00
120,120,0,0,1,0000,0,0000,0000,00
121,121,0,0,1,0000,0,0000,0000,00
122,122,0,0,1,0000,0,0000,0000,00
123,123,0,0,1,0000,0,0000,0000,00
124,124,0,0,1,0000,0,0000,0000,00
125,125,0,0,1,0000,0,0000,0000,00
126,126,0,0,1,0000,0,0000,0000,00
127,127,0,0,1,0000,0,0000,0000,00
128,128,0,0,1,0000,0,0000,0000,00
129,129,0,0,1,0000,0,0000,0000,00
130,130,0,0,1,0000,0,0000,0000,00
131,131,0,0,1,0000,0,0000,0000,00
132,132,0,0,1,0000,0,0000,0000,00
133,133,0,0,1,0000,0,0000,0000,00
134,134,0,0,1,0000,0,0000,0000,00
135,135,0,0,1,0000,0,0000,0000,00
136,136,0,0,1,0000,0,0000,0000,00
137,137,0,0,1,0000,0,0000,0000,00
138,138,0,0,1,0000,0,0000,0000,00
139,139,0,0,1,0000,0,0000,0000,00
140,140,0,0,1,0000,0,0000,0000,00
141,141,0,0,1,0000,0,0000,0000,00
142,142,0,0,1,0000,0,0000,0000,00
143,143,0,0,1,0000,0,0000,0000,00
144,144,0,0,1,0000,0,0000,0000,00
145,145,0,0,1,0000,0,0000,0000,00
146,146,0,0,1,0000,0,0000,0000,00
147,147,0,0,1,0000,0,0000,0000,00
148,148,0,0,1,0000,0,0000,0000,00
149,149,0,0,1,0000,0,0000,0000,00
150,150,0,0,1,0000,0,0000,0000,00
151,151,0,0,1,0000,0,0000,0000,00
152,152,0,0,1,0000,0,0000,0000,00
153,153,0,0,1,0000,0,0000,0000,00
154,154,0,0,1,0000,0,0000,0000,00
155,155,0,0,1,0000,0,0000,0000,00
156,156,0,0,1,0000,0,0000,0000,00
157,157,0,0,1,0000,0,0000,0000,00
158,158,0,0,1,0000,0,0000,0000,00
159,159,0,0,1,0000,0,0000,0000,00
160,160,0,0,1,0000,0,0000,0000,00
161,161,0,0,1,0000,0,0000,0000,00
162,162,0,0,1,0000,0,0000,0000,00
163,163,0,0,1,0000,0,0000,0000,00
164,164,0,0,1,0000,0,0000,0000,00
165,165,0,0,1,0000,0,0000,0000,00
166,166,0,0,1,0000,0,0000,0000,00
167,167,0,0,1,0000,0,0000,0000,00
168,168,0,0,1,0000,0,0000,0000,00
169,169,0,0,1,0000,0,0000,0000,00
170,170,0,0,1,0000,0,0000,0000,00
171,171,0,0,1,0000,0,0000,0000,00
172,172,0,0,1,0000,0,0000,0000,00
173,173,0,0,1,0000,0,0000,0000,00
174,174,0,0,1,0000,0,0000,0000,00
175,175,0,0,1,0000,0,0000,0000,00
176,176,0,0,1,0000,0,0000,0000,00
177,177,0,0,1,0000,0,0000,0000,00
178,178,0,0,1,0000,0,0000,0000,00
179,179,0,0,1,0000,0,0000,0000,00
180,180,0,0,1,0000,0,0000,0000,00
181,181,0,0,1,0000,0,0000,0000,00
182,182,0,0,1,0000,0,0000,0000,00
183,183,0,0,1,0000,0,0000,0000,00
184,184,0,0,1,0000,0,0000,0000,00
185,185,0,0,1,0000,0,0000,0000,00
186,186,0,0,1,0000,0,0000,0000,00
187,187,0,0,1,0000,0,0000,0000,00
188,188,0,0,1,0000,0,0000,0000,00
189,189,0,0,1,0000,0,0000,0000,00
190,190,0,0,1,0000,0,0000,0000,00
191,191,0,0,1,0000,0,0000,0000,00
192,192,0,0,1,0000,0,0000,0000,00
193,193,0,0,1,0000,0,0000,0000,00
194,194,0,0,1,0000,0,0000,0000,00
195,195,0,0,1,0000,0,0000,0000,00
196,196,0,0,1,0000,0,0000,0000,00
197,197,0,0,1,0000,0,0000,0000,00
198,198,0,0,1,0000,0,0000,0000,00
199,199,0,0,1,0000,0,0000,0000,00
200,200,0,0,1,0000,0,0000,0000,00
201,201,0,0,1,0000,0,0000,0000,00
202,202,0,0,1,0000,0,0000,0000,00
203,203,0,0,1,0000,0,0000,0000,00
