Sample in Buffer,Sample in Window,TRIGGER,UART_Transfer_i/clock_out_top_0/U0/fifo_count_slv[3:0],UART_Transfer_i/clock_out_top_0/U0/glitching_done,UART_Transfer_i/clock_out_top_0/U0/tdc_code[7:0],UART_Transfer_i/clock_out_top_0/U0/gpio_latched[15:0],UART_Transfer_i/clock_out_top_0/U0/display_ptr_slv[2:0],UART_Transfer_i/clock_out_top_0/U0/tdc_code_latched[7:0],UART_Transfer_i/clock_out_top_0/U0/glitch_fifo_debug[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,7,0,01,0000,5,01,0080
1,1,0,7,0,01,0000,5,01,0080
2,2,0,7,0,01,0000,5,01,0080
3,3,0,7,0,01,0000,5,01,0080
4,4,0,7,0,01,0000,5,01,0080
5,5,0,7,0,01,0000,5,01,0080
6,6,0,7,0,01,0000,5,01,0080
7,7,0,7,0,01,0000,5,01,0080
8,8,0,7,0,01,0000,5,01,0080
9,9,0,7,0,01,0000,5,01,0080
10,10,0,7,0,01,0000,5,01,0080
11,11,0,7,0,01,0000,5,01,0080
12,12,0,7,0,01,0000,5,01,0080
13,13,0,7,0,01,0000,5,01,0080
14,14,0,7,0,01,0000,5,01,0080
15,15,0,7,0,01,0000,5,01,0080
16,16,0,7,0,01,0000,5,01,0080
17,17,0,7,0,01,0000,5,01,0080
18,18,0,7,0,01,0000,5,01,0080
19,19,0,7,0,01,0000,5,01,0080
20,20,0,7,0,01,0000,5,01,0080
21,21,0,7,0,01,0000,5,01,0080
22,22,0,7,0,01,0000,5,01,0080
23,23,0,7,0,01,0000,5,01,0080
24,24,0,7,0,01,0000,5,01,0080
25,25,0,7,0,01,0000,5,01,0080
26,26,0,7,0,01,0000,5,01,0080
27,27,0,7,0,01,0000,5,01,0080
28,28,0,7,0,01,0000,5,01,0080
29,29,0,7,0,01,0000,5,01,0080
30,30,0,7,0,01,0000,5,01,0080
31,31,0,7,0,01,0000,5,01,0080
32,32,0,7,0,01,0000,5,01,0080
