Sample in Buffer,Sample in Window,TRIGGER,UART_Transfer_i/clock_out_top_0/U0/fifo_count_slv[3:0],UART_Transfer_i/clock_out_top_0/U0/glitching_done,UART_Transfer_i/clock_out_top_0/U0/tdc_code[7:0],UART_Transfer_i/clock_out_top_0/U0/glitch_fifo_debug_1[15:0],UART_Transfer_i/clock_out_top_0/U0/display_ptr_slv[2:0],UART_Transfer_i/clock_out_top_0/U0/tdc_code_latched[7:0],UART_Transfer_i/clock_out_top_0/U0/glitch_fifo_debug_0[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,0,01,0080,3,01,0100
1,1,0,0,0,01,0080,3,01,0100
2,2,0,0,0,01,0080,3,01,0100
3,3,0,0,0,01,0080,3,01,0100
4,4,0,0,0,01,0080,3,01,0100
5,5,0,0,0,01,0080,3,01,0100
6,6,0,0,0,01,0080,3,01,0100
7,7,0,0,0,01,0080,3,01,0100
8,8,0,0,0,01,0080,3,01,0100
9,9,0,0,0,01,0080,3,01,0100
10,10,0,0,0,01,0080,3,01,0100
11,11,0,0,0,01,0080,3,01,0100
12,12,0,0,0,01,0080,3,01,0100
13,13,0,0,0,01,0080,3,01,0100
14,14,0,0,0,01,0080,3,01,0100
15,15,0,0,0,01,0080,3,01,0100
16,16,0,0,0,01,0080,3,01,0100
17,17,0,0,0,01,0080,3,01,0100
18,18,0,0,0,01,0080,3,01,0100
19,19,0,0,0,01,0080,3,01,0100
20,20,0,0,0,01,0080,3,01,0100
21,21,0,0,0,01,0080,3,01,0100
22,22,0,0,0,01,0080,3,01,0100
23,23,0,0,0,01,0080,3,01,0100
24,24,0,0,0,01,0080,3,01,0100
25,25,0,0,0,01,0080,3,01,0100
26,26,0,0,0,01,0080,3,01,0100
27,27,0,0,0,01,0080,3,01,0100
28,28,0,0,0,01,0080,3,01,0100
29,29,0,0,0,01,0080,3,01,0100
30,30,0,0,0,01,0080,3,01,0100
31,31,0,0,0,01,0080,3,01,0100
32,32,0,0,0,01,0080,3,01,0100
33,33,0,0,0,01,0080,3,01,0100
34,34,0,0,0,01,0080,3,01,0100
35,35,0,0,0,01,0080,3,01,0100
36,36,0,0,0,01,0080,3,01,0100
37,37,0,0,0,01,0080,3,01,0100
38,38,0,0,0,01,0080,3,01,0100
39,39,0,0,0,01,0080,3,01,0100
40,40,0,0,0,01,0080,3,01,0100
41,41,0,0,0,01,0080,3,01,0100
42,42,0,0,0,01,0080,3,01,0100
43,43,0,0,0,01,0080,3,01,0100
44,44,0,0,0,01,0080,3,01,0100
45,45,0,0,0,01,0080,3,01,0100
46,46,0,0,0,01,0080,3,01,0100
47,47,0,0,0,01,0080,3,01,0100
48,48,0,0,0,01,0080,3,01,0100
49,49,0,0,0,01,0080,3,01,0100
50,50,0,0,0,01,0080,3,01,0100
51,51,0,0,0,01,0080,3,01,0100
52,52,0,0,0,01,0080,3,01,0100
53,53,0,0,0,01,0080,3,01,0100
54,54,0,0,0,01,0080,3,01,0100
55,55,0,0,0,01,0080,3,01,0100
56,56,0,0,0,01,0080,3,01,0100
57,57,0,0,0,01,0080,3,01,0100
58,58,0,0,0,01,0080,3,01,0100
59,59,0,0,0,01,0080,3,01,0100
60,60,0,0,0,01,0080,3,01,0100
61,61,0,0,0,01,0080,3,01,0100
62,62,0,0,0,01,0080,3,01,0100
63,63,0,0,0,01,0080,3,01,0100
64,64,0,0,0,01,0080,3,01,0100
65,65,0,0,0,01,0080,3,01,0100
66,66,0,0,0,01,0080,3,01,0100
67,67,0,0,0,01,0080,3,01,0100
68,68,0,0,0,01,0080,3,01,0100
69,69,0,0,0,01,0080,3,01,0100
70,70,0,0,0,01,0080,3,01,0100
71,71,0,0,0,01,0080,3,01,0100
72,72,0,0,0,01,0080,3,01,0100
73,73,0,0,0,01,0080,3,01,0100
74,74,0,0,0,01,0080,3,01,0100
75,75,0,0,0,01,0080,3,01,0100
76,76,0,0,0,01,0080,3,01,0100
77,77,0,0,0,01,0080,3,01,0100
78,78,0,0,0,01,0080,3,01,0100
79,79,0,0,0,01,0080,3,01,0100
80,80,0,0,0,01,0080,3,01,0100
81,81,0,0,0,01,0080,3,01,0100
82,82,0,0,0,01,0080,3,01,0100
83,83,0,0,0,01,0080,3,01,0100
84,84,0,0,0,01,0080,3,01,0100
85,85,0,0,0,01,0080,3,01,0100
86,86,0,0,0,01,0080,3,01,0100
87,87,0,0,0,01,0080,3,01,0100
88,88,0,0,0,01,0080,3,01,0100
89,89,0,0,0,01,0080,3,01,0100
90,90,0,0,0,01,0080,3,01,0100
91,91,0,0,0,01,0080,3,01,0100
92,92,0,0,0,01,0080,3,01,0100
93,93,0,0,0,01,0080,3,01,0100
94,94,0,0,0,01,0080,3,01,0100
95,95,0,0,0,01,0080,3,01,0100
96,96,0,0,0,01,0080,3,01,0100
97,97,0,0,0,01,0080,3,01,0100
98,98,0,0,0,01,0080,3,01,0100
99,99,0,0,0,01,0080,3,01,0100
100,100,0,0,0,01,0080,3,01,0100
101,101,0,0,0,01,0080,3,01,0100
102,102,0,0,0,01,0080,3,01,0100
103,103,0,0,0,01,0080,3,01,0100
104,104,0,0,0,01,0080,3,01,0100
105,105,0,0,0,01,0080,3,01,0100
106,106,0,0,0,01,0080,3,01,0100
107,107,0,0,0,01,0080,3,01,0100
108,108,0,0,0,01,0080,3,01,0100
109,109,0,0,0,01,0080,3,01,0100
110,110,0,0,0,01,0080,3,01,0100
111,111,0,0,0,01,0080,3,01,0100
112,112,0,0,0,01,0080,3,01,0100
113,113,0,0,0,01,0080,3,01,0100
114,114,0,0,0,01,0080,3,01,0100
115,115,0,0,0,01,0080,3,01,0100
116,116,0,0,0,01,0080,3,01,0100
117,117,0,0,0,01,0080,3,01,0100
118,118,0,0,0,01,0080,3,01,0100
119,119,0,0,0,01,0080,3,01,0100
120,120,0,0,0,01,0080,3,01,0100
121,121,0,0,0,01,0080,3,01,0100
122,122,0,0,0,01,0080,3,01,0100
123,123,0,0,0,01,0080,3,01,0100
124,124,0,0,0,01,0080,3,01,0100
125,125,0,0,0,01,0080,3,01,0100
126,126,0,0,0,01,0080,3,01,0100
127,127,0,0,0,01,0080,3,01,0100
128,128,0,0,0,01,0080,3,01,0100
129,129,0,0,0,01,0080,3,01,0100
130,130,0,0,0,01,0080,3,01,0100
131,131,0,0,0,01,0080,3,01,0100
132,132,0,0,0,01,0080,3,01,0100
133,133,0,0,0,01,0080,3,01,0100
134,134,0,0,0,01,0080,3,01,0100
135,135,0,0,0,01,0080,3,01,0100
136,136,0,0,0,01,0080,3,01,0100
137,137,0,0,0,01,0080,3,01,0100
138,138,0,0,0,01,0080,3,01,0100
